"HYBAS_ID","environment.variation"
"1","2070021230",75.9315523679344
"2","2070021360",148.178960222176
"3","2070469050",135.538010239581
"4","2070470930",144.725077999964
"5","2070513970",77.2185142340507
"6","5070070110",213.275821279659
"7","5070070390",87.6801135999237
"8","5070070440",234.006841019607
"9","5070070450",196.382976590688
"10","5070468810",145.608620958708
"11","6070015200",159.626840675133
"12","6070709820",48.011488009031
"13","6070713620",47.6155989330674
"14","7070042610",69.2346244450112
"15","7070317870",27.7731495131428
"16","7070327640",172.588985192133
"17","7070360890",138.15115192509
"18","7070415980",119.354302099907
"19","7070450470",57.0006361025705
"20","7070451570",48.3327139011481
"21","7070453370",95.8987512468506
"22","7070620210",93.725551437899
"23","7070630060",99.6362353164971
"24","7070642870",155.509016926538
"25","7070643030",65.0784396410043
"26","7070647250",116.750371235707
"27","7070647350",102.162024697881
"28","7070648760",101.847956650606
"29","7070651920",72.910933721149
"30","7070656320",99.7646896409635
"31","7070663220",92.4643006815978
"32","7070684690",48.5719850639495
